Product_Category,Year,Month,Month_Name,Monthly_Sales,Previous_Month_Sales,Growth_Percentage
Shoes,2017,7,July,4381.20,3427.62,27.82
Shoes,2017,8,August,3654.78,4381.20,-16.58
Shoes,2017,9,September,4360.53,3654.78,19.31
Shoes,2017,10,October,4637.25,4360.53,6.35
Shoes,2017,11,November,3620.20,4637.25,-21.93
Shoes,2017,12,December,5670.48,3620.20,56.63
Sports & Outdoors,2017,1,January,324.96,,
Sports & Outdoors,2017,2,February,324.96,324.96,0.00
Sports & Outdoors,2017,3,March,487.44,324.96,50.00
Sports & Outdoors,2017,4,April,379.12,487.44,-22.22
Sports & Outdoors,2017,5,May,379.12,379.12,0.00
Sports & Outdoors,2017,6,June,216.64,379.12,-42.86
Sports & Outdoors,2017,7,July,243.72,216.64,12.50
Sports & Outdoors,2017,8,August,324.96,243.72,33.33
Sports & Outdoors,2017,9,September,622.84,324.96,91.67
Sports & Outdoors,2017,10,October,352.04,622.84,-43.48
Sports & Outdoors,2017,11,November,433.28,352.04,23.08
Sports & Outdoors,2017,12,December,135.40,433.28,-68.75
Toys,2017,1,January,124621.63,,
Toys,2017,2,February,108902.00,124621.63,-12.61
Toys,2017,3,March,132367.22,108902.00,21.55
Toys,2017,4,April,124645.40,132367.22,-5.83
Toys,2017,5,May,127582.97,124645.40,2.36
Toys,2017,6,June,119773.19,127582.97,-6.12
Toys,2017,7,July,132004.03,119773.19,10.21
Toys,2017,8,August,126013.42,132004.03,-4.54
Toys,2017,9,September,121057.27,126013.42,-3.93
Toys,2017,10,October,132870.69,121057.27,9.76
Toys,2017,11,November,130771.85,132870.69,-1.58
Toys,2017,12,December,133198.70,130771.85,1.86
