Store_ID,Store_Name,Supplier_ID,Supplier_Name,Year,Month,Month_Name,Monthly_Revenue,Previous_Month_Revenue,Revenue_Change_Percentage,Volatility_Percentage
1,Electro Mart,16,Sony Corporation,2020,12,December,91744.34,83764.79,9.53,9.53
2,Tech Haven,13,Samsung Electronics,2015,1,January,83467.41,,,
2,Tech Haven,13,Samsung Electronics,2015,2,February,68262.23,83467.41,-18.22,18.22
2,Tech Haven,13,Samsung Electronics,2015,3,March,77088.69,68262.23,12.93,12.93
2,Tech Haven,13,Samsung Electronics,2015,4,April,76788.57,77088.69,-0.39,0.39
2,Tech Haven,13,Samsung Electronics,2015,5,May,78059.91,76788.57,1.66,1.66
2,Tech Haven,13,Samsung Electronics,2015,6,June,86249.77,78059.91,10.49,10.49
2,Tech Haven,13,Samsung Electronics,2015,7,July,81991.35,86249.77,-4.94,4.94
2,Tech Haven,13,Samsung Electronics,2015,8,August,80454.96,81991.35,-1.87,1.87
2,Tech Haven,13,Samsung Electronics,2015,9,September,77987.84,80454.96,-3.07,3.07
2,Tech Haven,13,Samsung Electronics,2015,10,October,78919.13,77987.84,1.19,1.19
2,Tech Haven,13,Samsung Electronics,2015,11,November,76910.39,78919.13,-2.55,2.55
2,Tech Haven,13,Samsung Electronics,2015,12,December,83292.65,76910.39,8.30,8.30
2,Tech Haven,13,Samsung Electronics,2016,1,January,79982.20,83292.65,-3.97,3.97
2,Tech Haven,13,Samsung Electronics,2016,2,February,79868.92,79982.20,-0.14,0.14
2,Tech Haven,13,Samsung Electronics,2016,3,March,86022.73,79868.92,7.70,7.70
2,Tech Haven,13,Samsung Electronics,2016,4,April,78817.67,86022.73,-8.38,8.38
2,Tech Haven,13,Samsung Electronics,2016,5,May,81822.96,78817.67,3.81,3.81
2,Tech Haven,13,Samsung Electronics,2016,6,June,82744.84,81822.96,1.13,1.13
2,Tech Haven,13,Samsung Electronics,2016,7,July,78291.33,82744.84,-5.38,5.38
2,Tech Haven,13,Samsung Electronics,2016,8,August,81778.43,78291.33,4.45,4.45
2,Tech Haven,13,Samsung Electronics,2016,9,September,75936.64,81778.43,-7.14,7.14
2,Tech Haven,13,Samsung Electronics,2016,10,October,82245.44,75936.64,8.31,8.31
2,Tech Haven,13,Samsung Electronics,2016,11,November,79226.62,82245.44,-3.67,3.67
2,Tech Haven,13,Samsung Electronics,2016,12,December,81192.65,79226.62,2.48,2.48
2,Tech Haven,13,Samsung Electronics,2017,1,January,82181.47,81192.65,1.22,1.22
2,Tech Haven,13,Samsung Electronics,2017,2,February,72294.82,82181.47,-12.03,12.03
2,Tech Haven,13,Samsung Electronics,2017,3,March,79273.00,72294.82,9.65,9.65
2,Tech Haven,13,Samsung Electronics,2017,4,April,77306.37,79273.00,-2.48,2.48
2,Tech Haven,13,Samsung Electronics,2017,5,May,82000.38,77306.37,6.07,6.07
2,Tech Haven,13,Samsung Electronics,2017,6,June,77273.47,82000.38,-5.76,5.76
2,Tech Haven,13,Samsung Electronics,2017,7,July,79921.02,77273.47,3.43,3.43
2,Tech Haven,13,Samsung Electronics,2017,8,August,83751.85,79921.02,4.79,4.79
2,Tech Haven,13,Samsung Electronics,2017,9,September,75547.52,83751.85,-9.80,9.80
2,Tech Haven,13,Samsung Electronics,2017,10,October,76055.41,75547.52,0.67,0.67
2,Tech Haven,13,Samsung Electronics,2017,11,November,82639.28,76055.41,8.66,8.66
2,Tech Haven,13,Samsung Electronics,2017,12,December,79077.36,82639.28,-4.31,4.31
2,Tech Haven,13,Samsung Electronics,2018,1,January,85301.84,79077.36,7.87,7.87
2,Tech Haven,13,Samsung Electronics,2018,2,February,75000.66,85301.84,-12.08,12.08
2,Tech Haven,13,Samsung Electronics,2018,3,March,84802.69,75000.66,13.07,13.07
2,Tech Haven,13,Samsung Electronics,2018,4,April,75647.48,84802.69,-10.80,10.80
2,Tech Haven,13,Samsung Electronics,2018,5,May,78704.09,75647.48,4.04,4.04
2,Tech Haven,13,Samsung Electronics,2018,6,June,76378.13,78704.09,-2.96,2.96
2,Tech Haven,13,Samsung Electronics,2018,7,July,81558.28,76378.13,6.78,6.78
2,Tech Haven,13,Samsung Electronics,2018,8,August,81560.16,81558.28,0.00,0.00
2,Tech Haven,13,Samsung Electronics,2018,9,September,80627.21,81560.16,-1.14,1.14
2,Tech Haven,13,Samsung Electronics,2018,10,October,78276.47,80627.21,-2.92,2.92
2,Tech Haven,13,Samsung Electronics,2018,11,November,82205.97,78276.47,5.02,5.02
2,Tech Haven,13,Samsung Electronics,2018,12,December,80428.75,82205.97,-2.16,2.16
2,Tech Haven,13,Samsung Electronics,2019,1,January,87158.04,80428.75,8.37,8.37
2,Tech Haven,13,Samsung Electronics,2019,2,February,72446.61,87158.04,-16.88,16.88
2,Tech Haven,13,Samsung Electronics,2019,3,March,80114.39,72446.61,10.58,10.58
2,Tech Haven,13,Samsung Electronics,2019,4,April,79834.10,80114.39,-0.35,0.35
2,Tech Haven,13,Samsung Electronics,2019,5,May,83994.99,79834.10,5.21,5.21
2,Tech Haven,13,Samsung Electronics,2019,6,June,79372.64,83994.99,-5.50,5.50
2,Tech Haven,13,Samsung Electronics,2019,7,July,84801.70,79372.64,6.84,6.84
2,Tech Haven,13,Samsung Electronics,2019,8,August,79705.10,84801.70,-6.01,6.01
2,Tech Haven,13,Samsung Electronics,2019,9,September,78405.87,79705.10,-1.63,1.63
2,Tech Haven,13,Samsung Electronics,2019,10,October,83643.85,78405.87,6.68,6.68
2,Tech Haven,13,Samsung Electronics,2019,11,November,76980.91,83643.85,-7.97,7.97
2,Tech Haven,13,Samsung Electronics,2019,12,December,84465.35,76980.91,9.72,9.72
2,Tech Haven,13,Samsung Electronics,2020,1,January,84429.26,84465.35,-0.04,0.04
2,Tech Haven,13,Samsung Electronics,2020,2,February,74442.35,84429.26,-11.83,11.83
2,Tech Haven,13,Samsung Electronics,2020,3,March,83291.03,74442.35,11.89,11.89
2,Tech Haven,13,Samsung Electronics,2020,4,April,85476.29,83291.03,2.62,2.62
2,Tech Haven,13,Samsung Electronics,2020,5,May,83298.51,85476.29,-2.55,2.55
2,Tech Haven,13,Samsung Electronics,2020,6,June,79512.89,83298.51,-4.54,4.54
2,Tech Haven,13,Samsung Electronics,2020,7,July,86946.89,79512.89,9.35,9.35
2,Tech Haven,13,Samsung Electronics,2020,8,August,83265.64,86946.89,-4.23,4.23
2,Tech Haven,13,Samsung Electronics,2020,9,September,75613.24,83265.64,-9.19,9.19
2,Tech Haven,13,Samsung Electronics,2020,10,October,81081.07,75613.24,7.23,7.23
2,Tech Haven,13,Samsung Electronics,2020,11,November,82114.78,81081.07,1.27,1.27
2,Tech Haven,13,Samsung Electronics,2020,12,December,80391.44,82114.78,-2.10,2.10
3,Sound Zone,39,Sonos Inc.,2015,1,January,139556.86,,,
3,Sound Zone,39,Sonos Inc.,2015,2,February,124830.72,139556.86,-10.55,10.55
3,Sound Zone,39,Sonos Inc.,2015,3,March,140317.74,124830.72,12.41,12.41
3,Sound Zone,39,Sonos Inc.,2015,4,April,142457.07,140317.74,1.52,1.52
3,Sound Zone,39,Sonos Inc.,2015,5,May,142263.64,142457.07,-0.14,0.14
3,Sound Zone,39,Sonos Inc.,2015,6,June,136396.04,142263.64,-4.12,4.12
3,Sound Zone,39,Sonos Inc.,2015,7,July,136145.23,136396.04,-0.18,0.18
3,Sound Zone,39,Sonos Inc.,2015,8,August,138368.26,136145.23,1.63,1.63
3,Sound Zone,39,Sonos Inc.,2015,9,September,132065.27,138368.26,-4.56,4.56
3,Sound Zone,39,Sonos Inc.,2015,10,October,132734.31,132065.27,0.51,0.51
3,Sound Zone,39,Sonos Inc.,2015,11,November,138843.04,132734.31,4.60,4.60
3,Sound Zone,39,Sonos Inc.,2015,12,December,145449.86,138843.04,4.76,4.76
3,Sound Zone,39,Sonos Inc.,2016,1,January,141534.40,145449.86,-2.69,2.69
3,Sound Zone,39,Sonos Inc.,2016,2,February,130763.83,141534.40,-7.61,7.61
3,Sound Zone,39,Sonos Inc.,2016,3,March,132845.55,130763.83,1.59,1.59
3,Sound Zone,39,Sonos Inc.,2016,4,April,131815.46,132845.55,-0.78,0.78
3,Sound Zone,39,Sonos Inc.,2016,5,May,143153.05,131815.46,8.60,8.60
3,Sound Zone,39,Sonos Inc.,2016,6,June,127389.72,143153.05,-11.01,11.01
3,Sound Zone,39,Sonos Inc.,2016,7,July,139629.10,127389.72,9.61,9.61
3,Sound Zone,39,Sonos Inc.,2016,8,August,140281.98,139629.10,0.47,0.47
3,Sound Zone,39,Sonos Inc.,2016,9,September,136552.79,140281.98,-2.66,2.66
3,Sound Zone,39,Sonos Inc.,2016,10,October,138790.72,136552.79,1.64,1.64
3,Sound Zone,39,Sonos Inc.,2016,11,November,133854.23,138790.72,-3.56,3.56
3,Sound Zone,39,Sonos Inc.,2016,12,December,145314.51,133854.23,8.56,8.56
3,Sound Zone,39,Sonos Inc.,2017,1,January,130785.21,145314.51,-10.00,10.00
3,Sound Zone,39,Sonos Inc.,2017,2,February,124230.35,130785.21,-5.01,5.01
3,Sound Zone,39,Sonos Inc.,2017,3,March,134888.83,124230.35,8.58,8.58
3,Sound Zone,39,Sonos Inc.,2017,4,April,140600.74,134888.83,4.23,4.23
3,Sound Zone,39,Sonos Inc.,2017,5,May,143245.78,140600.74,1.88,1.88
3,Sound Zone,39,Sonos Inc.,2017,6,June,132314.42,143245.78,-7.63,7.63
3,Sound Zone,39,Sonos Inc.,2017,7,July,134049.47,132314.42,1.31,1.31
3,Sound Zone,39,Sonos Inc.,2017,8,August,138644.99,134049.47,3.43,3.43
3,Sound Zone,39,Sonos Inc.,2017,9,September,137887.10,138644.99,-0.55,0.55
3,Sound Zone,39,Sonos Inc.,2017,10,October,145391.08,137887.10,5.44,5.44
3,Sound Zone,39,Sonos Inc.,2017,11,November,137282.34,145391.08,-5.58,5.58
3,Sound Zone,39,Sonos Inc.,2017,12,December,141469.45,137282.34,3.05,3.05
3,Sound Zone,39,Sonos Inc.,2018,1,January,133470.92,141469.45,-5.65,5.65
3,Sound Zone,39,Sonos Inc.,2018,2,February,126910.22,133470.92,-4.92,4.92
3,Sound Zone,39,Sonos Inc.,2018,3,March,141544.47,126910.22,11.53,11.53
3,Sound Zone,39,Sonos Inc.,2018,4,April,134242.21,141544.47,-5.16,5.16
3,Sound Zone,39,Sonos Inc.,2018,5,May,137542.27,134242.21,2.46,2.46
3,Sound Zone,39,Sonos Inc.,2018,6,June,138756.32,137542.27,0.88,0.88
3,Sound Zone,39,Sonos Inc.,2018,7,July,148003.93,138756.32,6.66,6.66
3,Sound Zone,39,Sonos Inc.,2018,8,August,142097.56,148003.93,-3.99,3.99
3,Sound Zone,39,Sonos Inc.,2018,9,September,138773.12,142097.56,-2.34,2.34
3,Sound Zone,39,Sonos Inc.,2018,10,October,143316.83,138773.12,3.27,3.27
3,Sound Zone,39,Sonos Inc.,2018,11,November,133881.60,143316.83,-6.58,6.58
3,Sound Zone,39,Sonos Inc.,2018,12,December,146456.54,133881.60,9.39,9.39
3,Sound Zone,39,Sonos Inc.,2019,1,January,143701.19,146456.54,-1.88,1.88
3,Sound Zone,39,Sonos Inc.,2019,2,February,126023.56,143701.19,-12.30,12.30
3,Sound Zone,39,Sonos Inc.,2019,3,March,138644.81,126023.56,10.01,10.01
3,Sound Zone,39,Sonos Inc.,2019,4,April,136272.07,138644.81,-1.71,1.71
3,Sound Zone,39,Sonos Inc.,2019,5,May,143431.46,136272.07,5.25,5.25
3,Sound Zone,39,Sonos Inc.,2019,6,June,137420.77,143431.46,-4.19,4.19
3,Sound Zone,39,Sonos Inc.,2019,7,July,143945.00,137420.77,4.75,4.75
3,Sound Zone,39,Sonos Inc.,2019,8,August,143890.69,143945.00,-0.04,0.04
3,Sound Zone,39,Sonos Inc.,2019,9,September,131050.26,143890.69,-8.92,8.92
3,Sound Zone,39,Sonos Inc.,2019,10,October,143738.74,131050.26,9.68,9.68
3,Sound Zone,39,Sonos Inc.,2019,11,November,133436.16,143738.74,-7.17,7.17
3,Sound Zone,39,Sonos Inc.,2019,12,December,142412.79,133436.16,6.73,6.73
3,Sound Zone,39,Sonos Inc.,2020,1,January,141546.90,142412.79,-0.61,0.61
3,Sound Zone,39,Sonos Inc.,2020,2,February,134249.18,141546.90,-5.16,5.16
3,Sound Zone,39,Sonos Inc.,2020,3,March,138829.57,134249.18,3.41,3.41
3,Sound Zone,39,Sonos Inc.,2020,4,April,138240.57,138829.57,-0.42,0.42
3,Sound Zone,39,Sonos Inc.,2020,5,May,135322.49,138240.57,-2.11,2.11
3,Sound Zone,39,Sonos Inc.,2020,6,June,141322.11,135322.49,4.43,4.43
3,Sound Zone,39,Sonos Inc.,2020,7,July,142222.91,141322.11,0.64,0.64
3,Sound Zone,39,Sonos Inc.,2020,8,August,136584.92,142222.91,-3.96,3.96
3,Sound Zone,39,Sonos Inc.,2020,9,September,133321.89,136584.92,-2.39,2.39
3,Sound Zone,39,Sonos Inc.,2020,10,October,136655.37,133321.89,2.50,2.50
3,Sound Zone,39,Sonos Inc.,2020,11,November,135104.90,136655.37,-1.13,1.13
3,Sound Zone,39,Sonos Inc.,2020,12,December,138244.13,135104.90,2.32,2.32
4,Game Zone,18,Razer Inc.,2015,1,January,130051.34,,,
4,Game Zone,18,Razer Inc.,2015,2,February,115189.79,130051.34,-11.43,11.43
4,Game Zone,18,Razer Inc.,2015,3,March,132039.96,115189.79,14.63,14.63
4,Game Zone,18,Razer Inc.,2015,4,April,128510.19,132039.96,-2.67,2.67
4,Game Zone,18,Razer Inc.,2015,5,May,132646.55,128510.19,3.22,3.22
4,Game Zone,18,Razer Inc.,2015,6,June,126974.28,132646.55,-4.28,4.28
4,Game Zone,18,Razer Inc.,2015,7,July,129323.34,126974.28,1.85,1.85
4,Game Zone,18,Razer Inc.,2015,8,August,127718.73,129323.34,-1.24,1.24
4,Game Zone,18,Razer Inc.,2015,9,September,125407.68,127718.73,-1.81,1.81
4,Game Zone,18,Razer Inc.,2015,10,October,125859.51,125407.68,0.36,0.36
4,Game Zone,18,Razer Inc.,2015,11,November,122042.08,125859.51,-3.03,3.03
4,Game Zone,18,Razer Inc.,2015,12,December,119492.26,122042.08,-2.09,2.09
4,Game Zone,18,Razer Inc.,2016,1,January,127671.99,119492.26,6.85,6.85
4,Game Zone,18,Razer Inc.,2016,2,February,120278.94,127671.99,-5.79,5.79
4,Game Zone,18,Razer Inc.,2016,3,March,134045.94,120278.94,11.45,11.45
4,Game Zone,18,Razer Inc.,2016,4,April,124489.37,134045.94,-7.13,7.13
4,Game Zone,18,Razer Inc.,2016,5,May,123071.42,124489.37,-1.14,1.14
4,Game Zone,18,Razer Inc.,2016,6,June,130424.80,123071.42,5.97,5.97
4,Game Zone,18,Razer Inc.,2016,7,July,123750.10,130424.80,-5.12,5.12
4,Game Zone,18,Razer Inc.,2016,8,August,124111.01,123750.10,0.29,0.29
4,Game Zone,18,Razer Inc.,2016,9,September,123013.09,124111.01,-0.88,0.88
4,Game Zone,18,Razer Inc.,2016,10,October,126894.37,123013.09,3.16,3.16
4,Game Zone,18,Razer Inc.,2016,11,November,123690.55,126894.37,-2.52,2.52
4,Game Zone,18,Razer Inc.,2016,12,December,126417.41,123690.55,2.20,2.20
4,Game Zone,18,Razer Inc.,2017,1,January,126203.21,126417.41,-0.17,0.17
4,Game Zone,18,Razer Inc.,2017,2,February,113343.76,126203.21,-10.19,10.19
4,Game Zone,18,Razer Inc.,2017,3,March,129969.33,113343.76,14.67,14.67
4,Game Zone,18,Razer Inc.,2017,4,April,129430.06,129969.33,-0.41,0.41
4,Game Zone,18,Razer Inc.,2017,5,May,119719.07,129430.06,-7.50,7.50
4,Game Zone,18,Razer Inc.,2017,6,June,124967.27,119719.07,4.38,4.38
4,Game Zone,18,Razer Inc.,2017,7,July,123570.40,124967.27,-1.12,1.12
4,Game Zone,18,Razer Inc.,2017,8,August,126842.48,123570.40,2.65,2.65
4,Game Zone,18,Razer Inc.,2017,9,September,126176.61,126842.48,-0.52,0.52
4,Game Zone,18,Razer Inc.,2017,10,October,140718.30,126176.61,11.52,11.52
4,Game Zone,18,Razer Inc.,2017,11,November,123542.84,140718.30,-12.21,12.21
4,Game Zone,18,Razer Inc.,2017,12,December,131629.23,123542.84,6.55,6.55
4,Game Zone,18,Razer Inc.,2018,1,January,124823.97,131629.23,-5.17,5.17
4,Game Zone,18,Razer Inc.,2018,2,February,118151.04,124823.97,-5.35,5.35
4,Game Zone,18,Razer Inc.,2018,3,March,130248.62,118151.04,10.24,10.24
4,Game Zone,18,Razer Inc.,2018,4,April,114959.36,130248.62,-11.74,11.74
4,Game Zone,18,Razer Inc.,2018,5,May,130558.42,114959.36,13.57,13.57
4,Game Zone,18,Razer Inc.,2018,6,June,125162.53,130558.42,-4.13,4.13
4,Game Zone,18,Razer Inc.,2018,7,July,120504.14,125162.53,-3.72,3.72
4,Game Zone,18,Razer Inc.,2018,8,August,130255.80,120504.14,8.09,8.09
4,Game Zone,18,Razer Inc.,2018,9,September,128196.89,130255.80,-1.58,1.58
4,Game Zone,18,Razer Inc.,2018,10,October,125246.93,128196.89,-2.30,2.30
4,Game Zone,18,Razer Inc.,2018,11,November,126642.61,125246.93,1.11,1.11
4,Game Zone,18,Razer Inc.,2018,12,December,119598.01,126642.61,-5.56,5.56
4,Game Zone,18,Razer Inc.,2019,1,January,126007.80,119598.01,5.36,5.36
4,Game Zone,18,Razer Inc.,2019,2,February,108590.17,126007.80,-13.82,13.82
4,Game Zone,18,Razer Inc.,2019,3,March,119153.97,108590.17,9.73,9.73
4,Game Zone,18,Razer Inc.,2019,4,April,119936.52,119153.97,0.66,0.66
4,Game Zone,18,Razer Inc.,2019,5,May,122041.64,119936.52,1.76,1.76
4,Game Zone,18,Razer Inc.,2019,6,June,123636.28,122041.64,1.31,1.31
4,Game Zone,18,Razer Inc.,2019,7,July,125762.91,123636.28,1.72,1.72
4,Game Zone,18,Razer Inc.,2019,8,August,132530.64,125762.91,5.38,5.38
4,Game Zone,18,Razer Inc.,2019,9,September,127690.86,132530.64,-3.65,3.65
4,Game Zone,18,Razer Inc.,2019,10,October,130511.33,127690.86,2.21,2.21
4,Game Zone,18,Razer Inc.,2019,11,November,122529.41,130511.33,-6.12,6.12
4,Game Zone,18,Razer Inc.,2019,12,December,132034.28,122529.41,7.76,7.76
4,Game Zone,18,Razer Inc.,2020,1,January,124225.38,132034.28,-5.91,5.91
4,Game Zone,18,Razer Inc.,2020,2,February,124168.19,124225.38,-0.05,0.05
4,Game Zone,18,Razer Inc.,2020,3,March,125934.76,124168.19,1.42,1.42
4,Game Zone,18,Razer Inc.,2020,4,April,114121.08,125934.76,-9.38,9.38
4,Game Zone,18,Razer Inc.,2020,5,May,127220.53,114121.08,11.48,11.48
4,Game Zone,18,Razer Inc.,2020,6,June,125100.15,127220.53,-1.67,1.67
4,Game Zone,18,Razer Inc.,2020,7,July,123199.73,125100.15,-1.52,1.52
4,Game Zone,18,Razer Inc.,2020,8,August,127665.82,123199.73,3.63,3.63
4,Game Zone,18,Razer Inc.,2020,9,September,128703.92,127665.82,0.81,0.81
4,Game Zone,18,Razer Inc.,2020,10,October,132841.48,128703.92,3.21,3.21
4,Game Zone,18,Razer Inc.,2020,11,November,121328.36,132841.48,-8.67,8.67
4,Game Zone,18,Razer Inc.,2020,12,December,125439.27,121328.36,3.39,3.39
5,InnoTech,18,Razer Inc.,2015,1,January,87865.58,,,
5,InnoTech,18,Razer Inc.,2015,2,February,79157.29,87865.58,-9.91,9.91
5,InnoTech,18,Razer Inc.,2015,3,March,81910.75,79157.29,3.48,3.48
5,InnoTech,18,Razer Inc.,2015,4,April,84436.56,81910.75,3.08,3.08
5,InnoTech,18,Razer Inc.,2015,5,May,89341.67,84436.56,5.81,5.81
5,InnoTech,18,Razer Inc.,2015,6,June,77122.56,89341.67,-13.68,13.68
5,InnoTech,18,Razer Inc.,2015,7,July,89973.95,77122.56,16.66,16.66
5,InnoTech,18,Razer Inc.,2015,8,August,91976.53,89973.95,2.23,2.23
5,InnoTech,18,Razer Inc.,2015,9,September,82452.76,91976.53,-10.35,10.35
5,InnoTech,18,Razer Inc.,2015,10,October,88057.30,82452.76,6.80,6.80
5,InnoTech,18,Razer Inc.,2015,11,November,83350.10,88057.30,-5.35,5.35
5,InnoTech,18,Razer Inc.,2015,12,December,83443.56,83350.10,0.11,0.11
5,InnoTech,18,Razer Inc.,2016,1,January,86259.81,83443.56,3.38,3.38
5,InnoTech,18,Razer Inc.,2016,2,February,84896.17,86259.81,-1.58,1.58
5,InnoTech,18,Razer Inc.,2016,3,March,91024.27,84896.17,7.22,7.22
5,InnoTech,18,Razer Inc.,2016,4,April,82541.26,91024.27,-9.32,9.32
5,InnoTech,18,Razer Inc.,2016,5,May,88327.30,82541.26,7.01,7.01
5,InnoTech,18,Razer Inc.,2016,6,June,84404.91,88327.30,-4.44,4.44
5,InnoTech,18,Razer Inc.,2016,7,July,89677.68,84404.91,6.25,6.25
5,InnoTech,18,Razer Inc.,2016,8,August,88263.50,89677.68,-1.58,1.58
5,InnoTech,18,Razer Inc.,2016,9,September,83697.70,88263.50,-5.17,5.17
5,InnoTech,18,Razer Inc.,2016,10,October,90811.02,83697.70,8.50,8.50
