Product_ID,Product_Category,Year,H1_Revenue,H2_Revenue,Yearly_Revenue,H1_Quantity,H2_Quantity,Yearly_Quantity,H1_Revenue_Percentage,H2_Revenue_Percentage
P00085942,Electronics,2017,7656.00,9744.00,17400.00,132,168,300,44.00,56.00
P00375436,Shoes,2017,8904.87,8490.69,17395.56,129,123,252,51.19,48.81
P00028842,Household Essentials,2017,8648.04,8685.97,17334.01,228,229,457,49.89,50.11
P00120042,Grocery,2017,9283.82,7600.49,16884.31,182,149,331,54.98,45.02
P00199442,Health & Beauty,2017,8439.04,8373.11,16812.15,128,127,255,50.20,49.80
P00101842,Household Essentials,2017,8094.24,8238.78,16333.02,112,114,226,49.56,50.44
P00014542,Toys,2017,7568.15,8555.30,16123.45,115,130,245,46.94,53.06
P00116142,Automotive,2017,8634.36,7346.78,15981.14,114,97,211,54.03,45.97
P00127642,Grocery,2017,8631.09,7303.23,15934.32,117,99,216,54.17,45.83
P00062842,Grocery,2017,8047.62,7792.14,15839.76,126,122,248,50.81,49.19
P00221442,Grocery,2017,6526.08,8825.04,15351.12,88,119,207,42.51,57.49
P00157542,Toys,2017,8534.40,6560.82,15095.22,160,123,283,56.54,43.46
P00057542,Home & Kitchen,2017,7662.20,7426.44,15088.64,130,126,256,50.78,49.22
P00255842,"Arts, Crafts & Sewing",2017,6795.80,8216.74,15012.54,220,266,486,45.27,54.73
P00351142,Grocery,2017,7692.30,7106.22,14798.52,105,97,202,51.98,48.02
P00183342,Health & Beauty,2017,7437.50,7312.50,14750.00,119,117,236,50.42,49.58
P00130742,Grocery,2017,6330.80,8416.24,14747.04,85,113,198,42.93,57.07
P00004742,Household Essentials,2017,7089.82,7619.90,14709.72,107,115,222,48.20,51.80
P00003942,Health & Beauty,2017,7646.17,6956.29,14602.46,133,121,254,52.36,47.64
P00021742,Health & Beauty,2017,5700.95,8761.46,14462.41,95,146,241,39.42,60.58
P00117542,"Books, Movies & Music",2017,5995.90,8464.80,14460.70,85,120,205,41.46,58.54
P00057442,Health & Beauty,2017,6786.90,7616.41,14403.31,90,101,191,47.12,52.88
P00286642,Patio & Garden,2017,7310.80,7087.00,14397.80,98,95,193,50.78,49.22
P00173842,Grocery,2017,7220.16,7144.95,14365.11,96,95,191,50.26,49.74
P00073842,Grocery,2017,7596.48,6716.40,14312.88,164,145,309,53.07,46.93
P00070042,Grocery,2017,7217.10,7003.26,14220.36,135,131,266,50.75,49.25
P00278642,Health & Beauty,2017,8053.15,6113.82,14166.97,245,186,431,56.84,43.16
P00211142,Health & Beauty,2017,7044.90,6616.08,13660.98,115,108,223,51.57,48.43
P00126142,Toys,2017,6087.60,7372.76,13460.36,90,109,199,45.23,54.77
P00289342,Health & Beauty,2017,7973.28,5481.63,13454.91,112,77,189,59.26,40.74
P00114442,Health & Beauty,2017,8052.82,5393.87,13446.69,106,71,177,59.89,40.11
P00111142,Grocery,2017,6961.95,6415.20,13377.15,191,176,367,52.04,47.96
P00070342,Grocery,2017,6000.36,7355.28,13355.64,93,114,207,44.93,55.07
P00351342,Grocery,2017,7155.28,6165.72,13321.00,94,81,175,53.71,46.29
P00161942,Health & Beauty,2017,6531.54,6768.19,13299.73,138,143,281,49.11,50.89
P00174442,Health & Beauty,2017,7732.28,5531.12,13263.40,137,98,235,58.30,41.70
P00182242,Grocery,2017,7019.64,6193.80,13213.44,102,90,192,53.13,46.88
P00159442,Health & Beauty,2017,7552.71,5645.46,13198.17,99,74,173,57.23,42.77
P00005042,Household Essentials,2017,6738.39,6433.83,13172.22,177,169,346,51.16,48.84
P00115142,Grocery,2017,5700.69,7463.79,13164.48,97,127,224,43.30,56.70
P00113242,Grocery,2017,4854.59,8211.97,13066.56,107,181,288,37.15,62.85
P00268442,Toys,2017,5686.42,7341.96,13028.38,79,102,181,43.65,56.35
P00022942,Health & Beauty,2017,5172.56,7758.84,12931.40,76,114,190,40.00,60.00
P00058442,Health & Beauty,2017,6155.60,6715.20,12870.80,88,96,184,47.83,52.17
P00034042,Grocery,2017,5635.07,7133.00,12768.07,79,100,179,44.13,55.87
P00103042,Grocery,2017,6592.00,6144.00,12736.00,103,96,199,51.76,48.24
P00274942,Toys,2017,5658.69,7042.83,12701.52,139,173,312,44.55,55.45
P00270942,Grocery,2017,6146.14,6483.84,12629.98,182,192,374,48.66,51.34
P00332242,Grocery,2017,6459.24,5892.64,12351.88,114,104,218,52.29,47.71
P00118742,Health & Beauty,2017,6138.33,6189.06,12327.39,121,122,243,49.79,50.21
P00327842,Toys,2017,5964.80,6337.60,12302.40,80,85,165,48.48,51.52
P00249742,Grocery,2017,5226.48,7041.23,12267.71,72,97,169,42.60,57.40
P00032042,Grocery,2017,5219.34,7040.04,12259.38,86,116,202,42.57,57.43
P00127942,Grocery,2017,6456.20,5708.64,12164.84,95,84,179,53.07,46.93
P00030842,Grocery,2017,5458.17,6690.66,12148.83,93,114,207,44.93,55.07
P00370853,Jewelry & Accessories,2017,6913.08,5231.52,12144.60,148,112,260,56.92,43.08
P00129342,Grocery,2017,6421.36,5691.66,12113.02,88,78,166,53.01,46.99
P00233542,Grocery,2017,5680.44,6291.24,11971.68,93,103,196,47.45,52.55
P00213242,Health & Beauty,2017,6658.61,5289.55,11948.16,107,85,192,55.73,44.27
P00114942,Grocery,2017,6635.84,5297.28,11933.12,233,186,419,55.61,44.39
P00331042,Health & Beauty,2017,6879.86,5050.11,11929.97,94,69,163,57.67,42.33
P00084342,Furniture,2017,5686.16,6224.04,11910.20,74,81,155,47.74,52.26
P00127842,Grocery,2017,6115.68,5721.12,11836.80,93,87,180,51.67,48.33
P00102342,Toys,2017,6860.96,4807.68,11668.64,137,96,233,58.80,41.20
P00317842,Toys,2017,6497.70,5158.78,11656.48,165,131,296,55.74,44.26
P00114042,Health & Beauty,2017,5691.40,5950.10,11641.50,110,115,225,48.89,51.11
P00035542,Home & Kitchen,2017,4481.40,7100.40,11581.80,77,122,199,38.69,61.31
P00251942,Grocery,2017,6351.10,5169.50,11520.60,86,70,156,55.13,44.87
P00243942,Grocery,2017,5457.90,6029.68,11487.58,105,116,221,47.51,52.49
P00190142,Home & Kitchen,2017,5772.15,5715.00,11487.15,101,100,201,50.25,49.75
P00120342,Health & Beauty,2017,5858.00,5623.68,11481.68,100,96,196,51.02,48.98
P00106742,Home & Kitchen,2017,5657.98,5729.60,11387.58,79,80,159,49.69,50.31
P00319342,Health & Beauty,2017,4566.60,6811.20,11377.80,59,88,147,40.14,59.86
P00154042,Grocery,2017,5748.66,5590.44,11339.10,109,106,215,50.70,49.30
P00142142,Grocery,2017,5915.96,5328.88,11244.84,131,118,249,52.61,47.39
P00000142,Home & Kitchen,2017,5782.40,5309.80,11092.20,208,191,399,52.13,47.87
P00113342,Grocery,2017,5536.98,5536.98,11073.96,114,114,228,50.00,50.00
P00295942,Electronics,2017,4502.79,6533.46,11036.25,153,222,375,40.80,59.20
P00034442,Grocery,2017,6038.55,4994.85,11033.40,81,67,148,54.73,45.27
P0097242,Grocery,2017,5490.45,5341.05,10831.50,147,143,290,50.69,49.31
P00356742,Health & Beauty,2017,5445.63,5380.02,10825.65,83,82,165,50.30,49.70
P00244042,Grocery,2017,4985.42,5797.00,10782.42,86,100,186,46.24,53.76
P00294542,Toys,2017,4816.00,5923.68,10739.68,100,123,223,44.84,55.16
P00144242,Health & Beauty,2017,6282.96,4411.44,10694.40,94,66,160,58.75,41.25
P00084442,Furniture,2017,5673.92,5015.34,10689.26,112,99,211,53.08,46.92
P00216342,Home & Kitchen,2017,4655.00,6020.00,10675.00,133,172,305,43.61,56.39
P00139542,Health & Beauty,2017,5006.30,5622.46,10628.76,65,73,138,47.10,52.90
P00154642,Toys,2017,5692.96,4926.60,10619.56,104,90,194,53.61,46.39
P00127342,Grocery,2017,4945.50,5604.90,10550.40,75,85,160,46.88,53.13
P00102642,Clothing,2017,5283.95,5235.25,10519.20,217,215,432,50.23,49.77
P00241642,Grocery,2017,6452.10,3979.80,10431.90,107,66,173,61.85,38.15
P00275842,Electronics,2017,5580.96,4850.12,10431.08,84,73,157,53.50,46.50
P00127742,Grocery,2017,5233.05,5172.90,10405.95,87,86,173,50.29,49.71
P00046742,Grocery,2017,5606.99,4779.39,10386.38,271,231,502,53.98,46.02
P00329542,Grocery,2017,5330.40,4930.62,10261.02,120,111,231,51.95,48.05
P00085042,Health & Beauty,2017,5102.77,5102.77,10205.54,71,71,142,50.00,50.00
P00330242,Health & Beauty,2017,4746.72,5435.76,10182.48,62,71,133,46.62,53.38
P00325742,Electronics,2017,4723.84,5265.92,9989.76,61,68,129,47.29,52.71
P00147942,Grocery,2017,5119.92,4857.36,9977.28,156,148,304,51.32,48.68
P00161442,Health & Beauty,2017,4465.12,5451.60,9916.72,86,105,191,45.03,54.97
P00250842,Toys,2017,4491.41,5424.69,9916.10,77,93,170,45.29,54.71
P00189642,Toys,2017,5454.22,4455.56,9909.78,71,58,129,55.04,44.96
P00139942,Health & Beauty,2017,5454.62,4426.29,9880.91,122,99,221,55.20,44.80
P00178242,Toys,2017,5192.35,4640.95,9833.30,113,101,214,52.80,47.20
P00086342,Toys,2017,5591.08,4225.32,9816.40,131,99,230,56.96,43.04
P00001742,Toys,2017,3956.70,5827.14,9783.84,55,81,136,40.44,59.56
P00247042,Health & Beauty,2017,4546.62,5225.22,9771.84,67,77,144,46.53,53.47
P00213742,Toys,2017,4331.80,5434.44,9766.24,55,69,124,44.35,55.65
P00366542,Health & Beauty,2017,5118.80,4584.00,9702.80,67,60,127,52.76,47.24
P00125942,Grocery,2017,4327.96,5372.64,9700.60,116,144,260,44.62,55.38
P00113642,Toys,2017,4692.65,4988.25,9680.90,127,135,262,48.47,51.53
P00350942,Home & Kitchen,2017,5019.29,4622.08,9641.37,139,128,267,52.06,47.94
P00249642,Home & Kitchen,2017,4850.89,4650.44,9501.33,121,116,237,51.05,48.95
P00147742,Grocery,2017,4642.00,4827.68,9469.68,100,104,204,49.02,50.98
P00302442,Health & Beauty,2017,4819.00,4636.00,9455.00,79,76,155,50.97,49.03
P00192842,Health & Beauty,2017,3846.96,5503.29,9350.25,72,103,175,41.14,58.86
P00128942,Grocery,2017,4605.12,4733.04,9338.16,144,148,292,49.32,50.68
P00112142,Grocery,2017,4829.22,4487.76,9316.98,297,276,573,51.83,48.17
P00217442,Grocery,2017,4241.84,5052.78,9294.62,68,81,149,45.64,54.36
P00346242,Grocery,2017,4543.00,4724.72,9267.72,100,104,204,49.02,50.98
P00089342,Toys,2017,4524.72,4724.34,9249.06,68,71,139,48.92,51.08
P00122442,Grocery,2017,4416.12,4822.20,9238.32,87,95,182,47.80,52.20
P00051642,Toys,2017,4572.60,4648.81,9221.41,60,61,121,49.59,50.41
P00150342,Toys,2017,3722.94,5441.22,9164.16,78,114,192,40.63,59.38
P00255742,Home & Kitchen,2017,4268.70,4888.35,9157.05,62,71,133,46.62,53.38
P00220242,Home & Kitchen,2017,4989.16,4108.72,9097.88,68,56,124,54.84,45.16
P00210042,Toys,2017,4269.95,4826.90,9096.85,115,130,245,46.94,53.06
P00078742,Health & Beauty,2017,3613.83,5459.19,9073.02,47,71,118,39.83,60.17
P00115542,Toys,2017,3826.55,5239.43,9065.98,65,89,154,42.21,57.79
P00182342,Grocery,2017,4488.10,4548.75,9036.85,74,75,149,49.66,50.34
P00210942,Health & Beauty,2017,4659.00,4348.40,9007.40,75,70,145,51.72,48.28
P00304042,Health & Beauty,2017,4808.05,4142.32,8950.37,65,56,121,53.72,46.28
P00148642,Household Essentials,2017,3634.40,5307.05,8941.45,176,257,433,40.65,59.35
P00073642,Toys,2017,4399.22,4530.54,8929.76,67,69,136,49.26,50.74
P00208742,Grocery,2017,4399.50,4525.20,8924.70,70,72,142,49.30,50.70
P00106042,Health & Beauty,2017,5241.15,3678.00,8919.15,171,120,291,58.76,41.24
P00150942,Household Essentials,2017,3850.35,5066.25,8916.60,57,75,132,43.18,56.82
P00074642,Health & Beauty,2017,3699.78,5201.14,8900.92,69,97,166,41.57,58.43
P00303042,Health & Beauty,2017,5736.72,3078.24,8814.96,123,66,189,65.08,34.92
P00114542,Health & Beauty,2017,4079.88,4727.48,8807.36,63,73,136,46.32,53.68
P00159542,Automotive,2017,3888.50,4888.40,8776.90,70,88,158,44.30,55.70
P00345842,Electronics,2017,2922.75,5845.50,8768.25,45,90,135,33.33,66.67
P00018042,Office & School Supplies,2017,3996.27,4767.48,8763.75,57,68,125,45.60,54.40
P00127542,Grocery,2017,4718.91,4035.01,8753.92,69,59,128,53.91,46.09
P00334242,Grocery,2017,4538.05,4194.63,8732.68,185,171,356,51.97,48.03
P00251842,Grocery,2017,5792.55,2935.95,8728.50,73,37,110,66.36,33.64
P00024742,Toys,2017,4866.18,3799.62,8665.80,73,57,130,56.15,43.85
P00361842,Office & School Supplies,2017,4275.70,4341.48,8617.18,65,66,131,49.62,50.38
P00054242,Grocery,2017,4401.51,4210.14,8611.65,69,66,135,51.11,48.89
P00115842,"Arts, Crafts & Sewing",2017,5802.75,2785.32,8588.07,75,36,111,67.57,32.43
P00285842,Health & Beauty,2017,4083.20,4491.52,8574.72,80,88,168,47.62,52.38
P00255942,Grocery,2017,3386.24,5170.88,8557.12,74,113,187,39.57,60.43
P00169742,Grocery,2017,4550.00,4004.00,8554.00,100,88,188,53.19,46.81
P00192542,Grocery,2017,4592.00,3960.60,8552.60,80,69,149,53.69,46.31
P00177442,Grocery,2017,3977.40,4574.01,8551.41,60,69,129,46.51,53.49
P00026042,Toys,2017,4554.88,3985.52,8540.40,88,77,165,53.33,46.67
P00075542,Toys,2017,3567.45,4966.45,8533.90,51,71,122,41.80,58.20
P00112342,Furniture,2017,3109.86,5422.32,8532.18,39,68,107,36.45,63.55
P00015542,Grocery,2017,3311.04,5173.50,8484.54,48,75,123,39.02,60.98
P00010242,Health & Beauty,2017,4489.38,3990.56,8479.94,63,56,119,52.94,47.06
P00117642,Automotive,2017,3903.39,4543.29,8446.68,61,71,132,46.21,53.79
P00345642,Grocery,2017,5005.61,3428.50,8434.11,73,50,123,59.35,40.65
P00013742,Health & Beauty,2017,4266.96,4143.28,8410.24,69,67,136,50.74,49.26
P00080342,Grocery,2017,4259.55,4142.85,8402.40,219,213,432,50.69,49.31
P00178342,Toys,2017,5384.64,2957.76,8342.40,71,39,110,64.55,35.45
P00156442,Toys,2017,3097.21,5202.11,8299.32,103,173,276,37.32,62.68
P00071442,Office & School Supplies,2017,4080.00,4216.00,8296.00,120,124,244,49.18,50.82
P00100942,Health & Beauty,2017,4013.70,4249.80,8263.50,85,90,175,48.57,51.43
P00118542,Health & Beauty,2017,3117.12,5072.96,8190.08,51,83,134,38.06,61.94
P00220142,Grocery,2017,4007.10,4169.55,8176.65,74,77,151,49.01,50.99
P00313542,Health & Beauty,2017,3551.10,4616.43,8167.53,70,91,161,43.48,56.52
P00016042,Grocery,2017,3664.71,4479.09,8143.80,63,77,140,45.00,55.00
P00145042,Grocery,2017,3624.06,4473.72,8097.78,209,258,467,44.75,55.25
P00207942,Household Essentials,2017,4787.64,3294.72,8082.36,93,64,157,59.24,40.76
P00150542,Health & Beauty,2017,3864.26,4208.60,8072.86,101,110,211,47.87,52.13
P00121342,Grocery,2017,3458.14,4533.36,7991.50,119,156,275,43.27,56.73
P00313242,Toys,2017,4177.53,3811.08,7988.61,57,52,109,52.29,47.71
P00112642,Grocery,2017,4270.63,3707.47,7978.10,91,79,170,53.53,46.47
P00138542,Health & Beauty,2017,3871.35,4092.57,7963.92,105,111,216,48.61,51.39
P00136742,Grocery,2017,3878.46,4079.07,7957.53,58,61,119,48.74,51.26
P00187842,Grocery,2017,3716.64,4229.28,7945.92,58,66,124,46.77,53.23
P00293342,Toys,2017,3566.85,4334.40,7901.25,79,96,175,45.14,54.86
P00295842,Health & Beauty,2017,4363.92,3526.40,7890.32,99,80,179,55.31,44.69
P00276342,Health & Beauty,2017,4380.75,3504.60,7885.35,55,44,99,55.56,44.44
P00305042,Patio & Garden,2017,3958.02,3898.05,7856.07,66,65,131,50.38,49.62
P00109242,Household Essentials,2017,3319.80,4527.00,7846.80,66,90,156,42.31,57.69
P00331942,Health & Beauty,2017,4142.88,3699.00,7841.88,84,75,159,52.83,47.17
P00137242,Health & Beauty,2017,3344.88,4485.18,7830.06,44,59,103,42.72,57.28
P00270242,Toys,2017,3292.50,4521.70,7814.20,75,103,178,42.13,57.87
P00135742,Household Essentials,2017,3375.90,4410.45,7786.35,62,81,143,43.36,56.64
P00086042,Toys,2017,3599.16,4165.32,7764.48,89,103,192,46.35,53.65
P00117842,Health & Beauty,2017,3577.84,4152.85,7730.69,56,65,121,46.28,53.72
P00127242,Grocery,2017,3396.80,4330.92,7727.72,80,102,182,43.96,56.04
P00004542,Health & Beauty,2017,4091.88,3622.32,7714.20,61,54,115,53.04,46.96
P00256642,Health & Beauty,2017,3798.23,3911.61,7709.84,67,69,136,49.26,50.74
P00140742,Grocery,2017,3263.74,4402.97,7666.71,106,143,249,42.57,57.43
P00014842,Grocery,2017,4669.08,2993.00,7662.08,78,50,128,60.94,39.06
P00245642,Health & Beauty,2017,3447.99,4167.90,7615.89,91,110,201,45.27,54.73
P0099342,Health & Beauty,2017,3219.70,4390.50,7610.20,55,75,130,42.31,57.69
P00100642,Health & Beauty,2017,2806.20,4801.72,7607.92,45,77,122,36.89,63.11
P00005742,Toys,2017,3647.52,3951.48,7599.00,48,52,100,48.00,52.00
P00146142,Grocery,2017,3159.20,4422.88,7582.08,40,56,96,41.67,58.33
P00153842,Toys,2017,3699.90,3864.34,7564.24,90,94,184,48.91,51.09
P00158242,Household Essentials,2017,3616.69,3913.14,7529.83,61,66,127,48.03,51.97
P00003642,Toys,2017,3513.51,4015.44,7528.95,77,88,165,46.67,53.33
P00025942,Toys,2017,3557.12,3946.18,7503.30,64,71,135,47.41,52.59
P00183942,Home & Kitchen,2017,3634.04,3866.00,7500.04,47,50,97,48.45,51.55
P00170642,Health & Beauty,2017,4358.69,3130.89,7489.58,71,51,122,58.20,41.80
P00048742,Health & Beauty,2017,4332.00,3146.40,7478.40,95,69,164,57.93,42.07
P00193542,Grocery,2017,3318.00,4147.50,7465.50,100,125,225,44.44,55.56
P00028042,Grocery,2017,2970.24,4484.48,7454.72,51,77,128,39.84,60.16
P00234542,Health & Beauty,2017,3273.60,4160.20,7433.80,48,61,109,44.04,55.96
P00118142,Toys,2017,3850.44,3558.74,7409.18,66,61,127,51.97,48.03
P00344442,Health & Beauty,2017,3538.50,3821.58,7360.08,50,54,104,48.08,51.92
P00198742,Grocery,2017,4107.67,3216.85,7324.52,83,65,148,56.08,43.92
P00000342,Health & Beauty,2017,4283.30,3027.85,7311.15,58,41,99,58.59,41.41
P00178142,Toys,2017,3317.40,3980.88,7298.28,45,54,99,45.45,54.55
P00070942,Home & Kitchen,2017,4374.88,2896.88,7271.76,74,49,123,60.16,39.84
P00274142,Grocery,2017,4602.40,2667.30,7269.70,88,51,139,63.31,36.69
P00174242,Office & School Supplies,2017,3362.50,3900.50,7263.00,50,58,108,46.30,53.70
P00003242,Toys,2017,3717.56,3534.30,7251.86,142,135,277,51.26,48.74
P00346342,Grocery,2017,2604.60,4630.40,7235.00,45,80,125,36.00,64.00
P00307542,Grocery,2017,3759.08,3469.92,7229.00,52,48,100,52.00,48.00
P00177842,Toys,2017,3400.32,3764.64,7164.96,56,62,118,47.46,52.54
P00102142,Furniture,2017,3548.75,3590.50,7139.25,85,86,171,49.71,50.29
P00279442,"Arts, Crafts & Sewing",2017,3451.38,3677.70,7129.08,61,65,126,48.41,51.59
P00198042,Patio & Garden,2017,4602.65,2522.00,7124.65,73,40,113,64.60,35.40
P00101342,Household Essentials,2017,3069.69,4032.73,7102.42,51,67,118,43.22,56.78
P00028442,Grocery,2017,3860.80,3233.42,7094.22,80,67,147,54.42,45.58
P00227842,Electronics,2017,3072.72,4010.16,7082.88,59,77,136,43.38,56.62
P00090942,Grocery,2017,3689.53,3360.76,7050.29,101,92,193,52.33,47.67
P00146742,Grocery,2017,3312.40,3712.80,7025.20,91,102,193,47.15,52.85
P00209842,Health & Beauty,2017,3219.48,3804.84,7024.32,66,78,144,45.83,54.17
P00248542,Toys,2017,3368.15,3622.35,6990.50,53,57,110,48.18,51.82
P00116742,Patio & Garden,2017,2955.82,4021.29,6977.11,86,117,203,42.36,57.64
P00216142,Grocery,2017,3545.25,3423.00,6968.25,87,84,171,50.88,49.12
P00042842,Health & Beauty,2017,2772.72,4159.08,6931.80,36,54,90,40.00,60.00
P00083942,Pets,2017,2846.10,4081.20,6927.30,53,76,129,41.09,58.91
P00189842,Home & Kitchen,2017,3801.52,3116.00,6917.52,61,50,111,54.95,45.05
P00123742,Patio & Garden,2017,3550.47,3366.03,6916.50,77,73,150,51.33,48.67
P00293242,Toys,2017,2959.26,3945.68,6904.94,93,124,217,42.86,57.14
P00173542,Health & Beauty,2017,3722.40,3168.00,6890.40,47,40,87,54.02,45.98
P00226342,Patio & Garden,2017,2858.70,4031.50,6890.20,78,110,188,41.49,58.51
P00184442,Grocery,2017,2592.15,4288.83,6880.98,55,91,146,37.67,62.33
P00119442,Health & Beauty,2017,3250.53,3571.57,6822.10,81,89,170,47.65,52.35
P00129542,Toys,2017,3768.29,3036.32,6804.61,139,112,251,55.38,44.62
P00248142,Health & Beauty,2017,2612.37,4185.41,6797.78,93,149,242,38.43,61.57
P00220342,Health & Beauty,2017,3255.65,3538.75,6794.40,115,125,240,47.92,52.08
P00142942,Grocery,2017,3662.74,3109.07,6771.81,86,73,159,54.09,45.91
P00019342,Grocery,2017,3417.96,3352.23,6770.19,52,51,103,50.49,49.51
P00263542,"Arts, Crafts & Sewing",2017,3416.05,3353.94,6769.99,55,54,109,50.46,49.54
P00172842,Home & Kitchen,2017,3746.04,3023.12,6769.16,57,46,103,55.34,44.66
P00058042,Toys,2017,3206.70,3542.64,6749.34,210,232,442,47.51,52.49
P00044142,Toys,2017,3293.76,3429.12,6722.88,73,76,149,48.99,51.01
P00230842,Toys,2017,3880.80,2833.60,6714.40,63,46,109,57.80,42.20
P00267542,Grocery,2017,3480.30,3209.61,6689.91,90,83,173,52.02,47.98
P00193242,Household Essentials,2017,3501.08,3182.80,6683.88,44,40,84,52.38,47.62
P00053342,Grocery,2017,2252.10,4429.13,6681.23,30,59,89,33.71,66.29
P00054042,"Books, Movies & Music",2017,2763.60,3882.20,6645.80,42,59,101,41.58,58.42
P00074342,Health & Beauty,2017,3813.81,2823.21,6637.02,77,57,134,57.46,42.54
P00346142,Grocery,2017,2905.65,3727.45,6633.10,99,127,226,43.81,56.19
P00296242,Toys,2017,2862.45,3752.99,6615.44,45,59,104,43.27,56.73
P00293142,Health & Beauty,2017,2374.80,4195.48,6570.28,30,53,83,36.14,63.86
P00286742,Grocery,2017,3017.30,3527.92,6545.22,65,76,141,46.10,53.90
P00177942,Health & Beauty,2017,2784.76,3734.11,6518.87,44,59,103,42.72,57.28
P00259142,Health & Beauty,2017,3492.50,3003.55,6496.05,50,43,93,53.76,46.24
P00209742,Grocery,2017,2988.00,3505.92,6493.92,75,88,163,46.01,53.99
P00240442,Household Essentials,2017,3361.40,3121.30,6482.70,70,65,135,51.85,48.15
P00046142,Grocery,2017,3180.70,3292.96,6473.66,85,88,173,49.13,50.87
P00346042,Household Essentials,2017,3536.75,2934.75,6471.50,47,39,86,54.65,45.35
P00059642,Grocery,2017,2418.62,4013.88,6432.50,47,78,125,37.60,62.40
P00249142,Health & Beauty,2017,3846.05,2577.25,6423.30,97,65,162,59.88,40.12
P00324942,Health & Beauty,2017,3132.00,3271.20,6403.20,135,141,276,48.91,51.09
P00053042,Health & Beauty,2017,3325.20,2999.20,6324.40,51,46,97,52.58,47.42
P00302942,Toys,2017,2452.00,3861.90,6313.90,40,63,103,38.83,61.17
P00227742,Health & Beauty,2017,2753.45,3540.15,6293.60,35,45,80,43.75,56.25
P00216042,Health & Beauty,2017,2671.13,3607.76,6278.89,77,104,181,42.54,57.46
P00128042,Grocery,2017,3339.60,2934.80,6274.40,66,58,124,53.23,46.77
P00329242,Health & Beauty,2017,3811.68,2461.71,6273.39,48,31,79,60.76,39.24
P00178842,Electronics,2017,3122.46,3122.46,6244.92,57,57,114,50.00,50.00
P00033542,Health & Beauty,2017,2843.25,3400.75,6244.00,51,61,112,45.54,54.46
P00330342,Health & Beauty,2017,3354.54,2875.32,6229.86,49,42,91,53.85,46.15
P00002542,Toys,2017,3034.56,3192.61,6227.17,96,101,197,48.73,51.27
