Store_Name,Store_ID,Supplier_Name,Supplier_ID,Product_ID,Product_Category,Total_Sales,Total_Quantity,Total_Transactions
Electro Mart,1,Sony Corporation,16,P00083942,Pets,44302.50,825,419
Electro Mart,1,Sony Corporation,16,P00198742,Grocery,43699.67,883,436
Electro Mart,1,Sony Corporation,16,P00307542,Grocery,43301.71,599,297
Electro Mart,1,Sony Corporation,16,P00005742,Toys,42934.35,565,277
Electro Mart,1,Sony Corporation,16,P00128242,Health & Beauty,42432.84,933,466
Electro Mart,1,Sony Corporation,16,P00019342,Grocery,42001.47,639,330
Electro Mart,1,Sony Corporation,16,P00046142,Grocery,40712.96,1088,524
Electro Mart,1,Sony Corporation,16,P00074342,Health & Beauty,40416.48,816,415
Electro Mart,1,Sony Corporation,16,P00044142,Toys,40292.16,893,450
Electro Mart,1,Sony Corporation,16,P00220342,Health & Beauty,38841.32,1372,698
Electro Mart,1,Sony Corporation,16,P00085342,Automotive,37515.27,1131,552
Electro Mart,1,Sony Corporation,16,P00058342,Home & Kitchen,37468.46,542,281
Electro Mart,1,Sony Corporation,16,P00324942,Health & Beauty,37166.40,1602,785
Electro Mart,1,Sony Corporation,16,P00296242,Toys,36512.14,574,285
Electro Mart,1,Sony Corporation,16,P00125342,Patio & Garden,36119.50,470,231
Electro Mart,1,Sony Corporation,16,P00267542,Grocery,33681.57,871,430
Electro Mart,1,Sony Corporation,16,P00337842,Health & Beauty,33467.56,476,239
Electro Mart,1,Sony Corporation,16,P00058142,Home & Kitchen,32997.51,819,404
Electro Mart,1,Sony Corporation,16,P00084942,Health & Beauty,32900.35,469,230
Electro Mart,1,Sony Corporation,16,P00246142,Grocery,31871.36,608,322
Electro Mart,1,Sony Corporation,16,P00303142,Health & Beauty,31650.60,493,245
Electro Mart,1,Sony Corporation,16,P00284842,Grocery,31371.12,408,202
Electro Mart,1,Sony Corporation,16,P00295742,Toys,31308.97,511,257
Electro Mart,1,Sony Corporation,16,P00188542,Health & Beauty,31185.44,572,278
Electro Mart,1,Sony Corporation,16,P00028542,Household Essentials,30628.95,977,498
Electro Mart,1,Sony Corporation,16,P00285342,Health & Beauty,29536.92,378,190
Electro Mart,1,Sony Corporation,16,P00236942,Pets,29456.10,414,216
Electro Mart,1,Sony Corporation,16,P00303242,Health & Beauty,29040.32,1208,614
Electro Mart,1,Sony Corporation,16,P00069242,Toys,28975.50,450,228
Electro Mart,1,Sony Corporation,16,P00157342,Toys,28780.56,426,211
Electro Mart,1,Sony Corporation,16,P00316742,Clothing,28629.12,403,200
Electro Mart,1,Sony Corporation,16,P00288342,Toys,28488.44,599,299
Electro Mart,1,Sony Corporation,16,P00075742,Toys,28096.80,460,233
Electro Mart,1,Sony Corporation,16,P00297042,Toys,27406.29,457,229
Electro Mart,1,Sony Corporation,16,P00248742,Health & Beauty,27293.50,494,241
Electro Mart,1,Sony Corporation,16,P00333042,Health & Beauty,27268.80,368,183
Electro Mart,1,Sony Corporation,16,P00255542,Health & Beauty,27196.49,491,235
Electro Mart,1,Sony Corporation,16,P00100442,Electronics,26877.55,1435,729
Electro Mart,1,Sony Corporation,16,P00075442,Health & Beauty,26700.48,381,182
Electro Mart,1,Sony Corporation,16,P00198142,Electronics,26216.00,800,404
Electro Mart,1,Sony Corporation,16,P00263442,"Arts, Crafts & Sewing",25869.06,441,221
Electro Mart,1,Sony Corporation,16,P00184142,Toys,25858.05,817,409
Electro Mart,1,Sony Corporation,16,P00174142,Home & Kitchen,25792.20,420,206
Electro Mart,1,Sony Corporation,16,P00359242,Grocery,25545.00,393,191
Electro Mart,1,Sony Corporation,16,P00329342,Health & Beauty,24611.68,404,196
Electro Mart,1,Sony Corporation,16,P00352142,Grocery,24364.97,749,383
Electro Mart,1,Sony Corporation,16,P00306042,Electronics,23718.40,436,215
Electro Mart,1,Sony Corporation,16,P00322942,Electronics,23386.48,398,194
Electro Mart,1,Sony Corporation,16,P0098342,Grocery,22190.48,494,255
Electro Mart,1,Sony Corporation,16,P00219842,Health & Beauty,22081.44,358,179
Electro Mart,1,Sony Corporation,16,P00344542,"Arts, Crafts & Sewing",21996.36,486,239
Electro Mart,1,Sony Corporation,16,P00184242,Sports & Outdoors,21934.80,810,409
Electro Mart,1,Sony Corporation,16,P00145842,Clothing,21879.90,322,154
Electro Mart,1,Sony Corporation,16,P00103342,Toys,21872.16,549,281
Electro Mart,1,Sony Corporation,16,P00226442,Patio & Garden,21567.96,331,164
Electro Mart,1,Sony Corporation,16,P00361642,Health & Beauty,21467.60,280,136
Electro Mart,1,Sony Corporation,16,P00326642,Toys,21161.52,303,158
Electro Mart,1,Sony Corporation,16,P00121242,Electronics,20418.79,343,170
Electro Mart,1,Sony Corporation,16,P00067842,Household Essentials,20418.22,302,148
Electro Mart,1,Sony Corporation,16,P00035242,Toys,19989.21,309,153
Electro Mart,1,Sony Corporation,16,P00305142,Grocery,19738.11,487,257
Electro Mart,1,Sony Corporation,16,P00113142,Grocery,19639.62,1526,759
Electro Mart,1,Sony Corporation,16,P00165842,Appliances,19375.20,405,206
Electro Mart,1,Sony Corporation,16,P00228442,Grocery,19147.90,305,146
Electro Mart,1,Sony Corporation,16,P00181542,Patio & Garden,19034.68,866,448
Electro Mart,1,Sony Corporation,16,P00304442,Grocery,19023.46,503,257
Electro Mart,1,Sony Corporation,16,P00193442,Toys,18914.22,274,133
Electro Mart,1,Sony Corporation,16,P00183042,Office & School Supplies,18878.81,509,256
Electro Mart,1,Sony Corporation,16,P00134942,Health & Beauty,18660.73,289,148
Electro Mart,1,Sony Corporation,16,P00187242,Clothing,18476.64,234,116
Electro Mart,1,Sony Corporation,16,P00041842,Household Essentials,18033.84,363,188
Electro Mart,1,Sony Corporation,16,P00054942,Health & Beauty,17993.48,563,270
Electro Mart,1,Sony Corporation,16,P00149542,Grocery,17707.03,289,143
Electro Mart,1,Sony Corporation,16,P00345942,Toys,17590.60,281,139
Electro Mart,1,Sony Corporation,16,P00131542,Toys,17559.06,311,151
Electro Mart,1,Sony Corporation,16,P0094642,Clothing,17502.21,249,133
Electro Mart,1,Sony Corporation,16,P00184342,Toys,17416.89,251,125
Electro Mart,1,Sony Corporation,16,P00045142,Grocery,17076.67,221,115
Electro Mart,1,Sony Corporation,16,P00363742,Health & Beauty,16844.16,248,124
Electro Mart,1,Sony Corporation,16,P00178442,Health & Beauty,16365.40,235,122
Electro Mart,1,Sony Corporation,16,P00144042,Electronics,16225.52,508,257
Electro Mart,1,Sony Corporation,16,P00302542,Health & Beauty,16078.98,219,108
Electro Mart,1,Sony Corporation,16,P00261842,Electronics,15939.60,296,145
Electro Mart,1,Sony Corporation,16,P00174842,Pharmacy & OTC,15937.65,331,165
Electro Mart,1,Sony Corporation,16,P00085442,Pets,15834.28,679,341
Electro Mart,1,Sony Corporation,16,P00188042,Health & Beauty,15503.04,224,108
Electro Mart,1,Sony Corporation,16,P00339042,Health & Beauty,15381.63,297,154
Electro Mart,1,Sony Corporation,16,P00210642,Toys,15253.00,350,185
Electro Mart,1,Sony Corporation,16,P00223042,Grocery,14369.16,302,148
Electro Mart,1,Sony Corporation,16,P00088042,Grocery,14314.02,394,205
Electro Mart,1,Sony Corporation,16,P00070542,Home & Kitchen,14267.85,365,173
Electro Mart,1,Sony Corporation,16,P00052042,Grocery,14102.24,212,107
Electro Mart,1,Sony Corporation,16,P00181242,Patio & Garden,13953.60,288,141
Electro Mart,1,Sony Corporation,16,P00295342,Electronics,13927.95,543,276
Electro Mart,1,Sony Corporation,16,P00326742,Patio & Garden,13849.04,1046,513
Electro Mart,1,Sony Corporation,16,P00004442,Grocery,13225.41,297,147
Electro Mart,1,Sony Corporation,16,P00246942,Pharmacy & OTC,13178.60,262,133
Electro Mart,1,Sony Corporation,16,P00131342,Health & Beauty,13127.40,187,87
Electro Mart,1,Sony Corporation,16,P00186242,Clothing,13018.61,209,101
Electro Mart,1,Sony Corporation,16,P00284742,Health & Beauty,12864.00,320,161
Electro Mart,1,Sony Corporation,16,P00297842,Grocery,12488.08,253,133
Electro Mart,1,Sony Corporation,16,P00018142,Health & Beauty,12240.00,225,110
Electro Mart,1,Sony Corporation,16,P00248342,Toys,12174.50,650,319
Electro Mart,1,Sony Corporation,16,P00160942,Grocery,12158.44,346,172
Electro Mart,1,Sony Corporation,16,P00315442,Grocery,12008.72,296,141
Electro Mart,1,Sony Corporation,16,P00137542,Grocery,11977.60,304,153
Electro Mart,1,Sony Corporation,16,P00026742,Toys,11896.52,268,134
Electro Mart,1,Sony Corporation,16,P00001642,Toys,11858.10,705,354
Electro Mart,1,Sony Corporation,16,P00113842,Household Essentials,11752.00,260,136
Electro Mart,1,Sony Corporation,16,P00154742,Toys,11466.45,249,123
Electro Mart,1,Sony Corporation,16,P00184542,Toys,11350.82,149,78
Electro Mart,1,Sony Corporation,16,P00031842,Grocery,11297.40,380,191
Electro Mart,1,Sony Corporation,16,P00154442,Toys,11295.42,474,239
Electro Mart,1,Sony Corporation,16,P00298442,"Arts, Crafts & Sewing",11249.85,555,282
Electro Mart,1,Sony Corporation,16,P00209642,Office & School Supplies,11190.52,319,151
Electro Mart,1,Sony Corporation,16,P00296542,Toys,11090.82,177,93
Electro Mart,1,Sony Corporation,16,P00299442,Home & Kitchen,11069.66,259,127
Electro Mart,1,Sony Corporation,16,P0095142,Electronics,11017.60,220,114
Electro Mart,1,Sony Corporation,16,P00008442,Toys,10975.14,241,114
Electro Mart,1,Sony Corporation,16,P00352842,Electronics,10836.32,376,187
Electro Mart,1,Sony Corporation,16,P00252242,Household Essentials,10817.00,145,73
Electro Mart,1,Sony Corporation,16,P00054342,Baby,10780.98,147,73
Electro Mart,1,Sony Corporation,16,P00015742,Baby,10590.69,479,241
Electro Mart,1,Sony Corporation,16,P00124342,Patio & Garden,10583.04,212,105
Electro Mart,1,Sony Corporation,16,P00205642,Health & Beauty,10224.00,576,290
Electro Mart,1,Sony Corporation,16,P00002642,Toys,10036.00,130,63
Electro Mart,1,Sony Corporation,16,P00273642,Toys,9972.16,176,88
Electro Mart,1,Sony Corporation,16,P00325242,"Arts, Crafts & Sewing",9945.36,342,168
Electro Mart,1,Sony Corporation,16,P00221742,Grocery,9872.24,476,242
Electro Mart,1,Sony Corporation,16,P00072442,Electronics,9733.76,134,70
Electro Mart,1,Sony Corporation,16,P00252642,Toys,9731.10,163,79
Electro Mart,1,Sony Corporation,16,P00216942,Health & Beauty,9661.32,188,92
Electro Mart,1,Sony Corporation,16,P00157642,Grocery,9560.00,956,482
Electro Mart,1,Sony Corporation,16,P00051042,Toys,9482.40,120,60
Electro Mart,1,Sony Corporation,16,P00100842,Health & Beauty,9471.40,1420,722
Electro Mart,1,Sony Corporation,16,P00148542,Grocery,9420.20,380,192
Electro Mart,1,Sony Corporation,16,P00284942,"Arts, Crafts & Sewing",9315.46,154,82
Electro Mart,1,Sony Corporation,16,P00105542,Toys,9219.52,188,108
Electro Mart,1,Sony Corporation,16,P00161542,Electronics,9217.04,604,295
Electro Mart,1,Sony Corporation,16,P00088542,Health & Beauty,9213.66,306,147
Electro Mart,1,Sony Corporation,16,P00230342,Health & Beauty,9171.82,382,195
Electro Mart,1,Sony Corporation,16,P00025342,Household Essentials,9093.05,115,55
Electro Mart,1,Sony Corporation,16,P00044342,Toys,9073.02,118,59
Electro Mart,1,Sony Corporation,16,P00039442,Patio & Garden,8858.00,215,107
Electro Mart,1,Sony Corporation,16,P00351642,Toys,8728.94,121,58
Electro Mart,1,Sony Corporation,16,P0094042,Grocery,8628.48,112,57
Electro Mart,1,Sony Corporation,16,P00110242,Toys,8548.40,140,74
Electro Mart,1,Sony Corporation,16,P00212442,Patio & Garden,8486.39,179,88
Electro Mart,1,Sony Corporation,16,P00187142,Electronics,8438.02,107,58
Electro Mart,1,Sony Corporation,16,P00101042,Health & Beauty,8418.75,449,237
Electro Mart,1,Sony Corporation,16,P00178542,Toys,8160.56,332,166
Electro Mart,1,Sony Corporation,16,P00320842,Grocery,8148.75,265,130
Electro Mart,1,Sony Corporation,16,P00207242,Health & Beauty,8141.25,167,84
Electro Mart,1,Sony Corporation,16,P00104942,Health & Beauty,8052.27,417,209
Electro Mart,1,Sony Corporation,16,P00283842,Toys,8029.76,184,87
Electro Mart,1,Sony Corporation,16,P00076542,Clothing,7967.52,144,71
Electro Mart,1,Sony Corporation,16,P00316842,Clothing,7924.56,356,181
Electro Mart,1,Sony Corporation,16,P00198942,Health & Beauty,7808.49,159,75
Electro Mart,1,Sony Corporation,16,P00361442,Baby,7761.18,102,49
Electro Mart,1,Sony Corporation,16,P00013942,Health & Beauty,7738.50,462,236
Electro Mart,1,Sony Corporation,16,P00053142,Grocery,7609.60,145,72
Electro Mart,1,Sony Corporation,16,P00089242,Electronics,7577.18,302,150
Electro Mart,1,Sony Corporation,16,P00022342,Toys,7533.40,140,68
Electro Mart,1,Sony Corporation,16,P00181842,Patio & Garden,7524.11,937,458
Electro Mart,1,Sony Corporation,16,P00202342,"Arts, Crafts & Sewing",7411.04,104,49
Electro Mart,1,Sony Corporation,16,P00253042,Toys,7344.54,469,240
Electro Mart,1,Sony Corporation,16,P00202142,Toys,7326.00,222,121
Electro Mart,1,Sony Corporation,16,P00323842,Electronics,7306.00,100,47
Electro Mart,1,Sony Corporation,16,P00340342,Grocery,7280.28,126,56
Electro Mart,1,Sony Corporation,16,P00114642,Health & Beauty,7245.90,97,49
Electro Mart,1,Sony Corporation,16,P00339342,Grocery,7219.80,378,186
Electro Mart,1,Sony Corporation,16,P00254142,Toys,7205.38,259,131
Electro Mart,1,Sony Corporation,16,P00341242,Baby,7204.69,193,95
Electro Mart,1,Sony Corporation,16,P00151242,Health & Beauty,7176.00,208,108
Electro Mart,1,Sony Corporation,16,P00008142,Toys,7076.52,99,51
Electro Mart,1,Sony Corporation,16,P00105942,Health & Beauty,7038.96,422,221
Electro Mart,1,Sony Corporation,16,P00235542,Patio & Garden,6921.92,194,99
Electro Mart,1,Sony Corporation,16,P0097742,Toys,6906.38,526,254
Electro Mart,1,Sony Corporation,16,P00350242,Health & Beauty,6851.52,96,52
Electro Mart,1,Sony Corporation,16,P00348942,Toys,6821.00,475,247
Electro Mart,1,Sony Corporation,16,P00233342,Grocery,6742.02,718,351
Electro Mart,1,Sony Corporation,16,P00345242,Health & Beauty,6622.16,184,100
Electro Mart,1,Sony Corporation,16,P00075642,Clothing,6530.58,126,63
Electro Mart,1,Sony Corporation,16,P00230542,Health & Beauty,6492.00,100,52
Electro Mart,1,Sony Corporation,16,P00040842,Electronics,6485.85,105,52
Electro Mart,1,Sony Corporation,16,P00025642,Clothing,6469.17,191,98
Electro Mart,1,Sony Corporation,16,P00166342,Toys,6464.64,112,58
Electro Mart,1,Sony Corporation,16,P00235942,Patio & Garden,6449.56,157,80
Electro Mart,1,Sony Corporation,16,P00338442,Grocery,6416.25,1475,731
Electro Mart,1,Sony Corporation,16,P00280342,"Arts, Crafts & Sewing",6316.20,145,78
Electro Mart,1,Sony Corporation,16,P00286442,Toys,6309.73,163,85
Electro Mart,1,Sony Corporation,16,P00127442,Grocery,6303.44,1102,536
Electro Mart,1,Sony Corporation,16,P0095342,Electronics,6277.70,286,145
Electro Mart,1,Sony Corporation,16,P00086942,"Arts, Crafts & Sewing",6195.20,121,53
Electro Mart,1,Sony Corporation,16,P00335242,Health & Beauty,6193.40,716,364
Electro Mart,1,Sony Corporation,16,P00134642,Health & Beauty,6180.48,87,45
Electro Mart,1,Sony Corporation,16,P00150442,Health & Beauty,6090.57,93,49
Electro Mart,1,Sony Corporation,16,P00155242,Home & Kitchen,6089.60,346,173
Electro Mart,1,Sony Corporation,16,P00013642,Toys,6063.60,124,67
Electro Mart,1,Sony Corporation,16,P00285642,Electronics,5992.80,660,338
Electro Mart,1,Sony Corporation,16,P00177242,Pets,5949.25,265,128
Electro Mart,1,Sony Corporation,16,P00143642,Grocery,5886.16,644,331
Electro Mart,1,Sony Corporation,16,P00298742,Appliances,5862.24,138,68
Electro Mart,1,Sony Corporation,16,P00319242,Toys,5764.00,88,42
Electro Mart,1,Sony Corporation,16,P00283142,Furniture,5759.76,618,310
Electro Mart,1,Sony Corporation,16,P00298942,Grocery,5752.98,279,145
Electro Mart,1,Sony Corporation,16,P00142742,Health & Beauty,5719.68,72,37
Electro Mart,1,Sony Corporation,16,P00136842,Grocery,5533.82,271,136
Electro Mart,1,Sony Corporation,16,P00183242,Health & Beauty,5374.72,1292,649
Electro Mart,1,Sony Corporation,16,P00238542,Health & Beauty,5342.80,722,342
Electro Mart,1,Sony Corporation,16,P00048942,Grocery,5323.96,167,87
Electro Mart,1,Sony Corporation,16,P00310142,Health & Beauty,5308.94,182,96
Electro Mart,1,Sony Corporation,16,P00035442,Baby,5009.59,67,34
Electro Mart,1,Sony Corporation,16,P00059242,Patio & Garden,4999.50,90,49
Electro Mart,1,Sony Corporation,16,P00152242,Appliances,4879.41,123,60
Electro Mart,1,Sony Corporation,16,P00192042,Health & Beauty,4839.45,1257,630
Electro Mart,1,Sony Corporation,16,P00190442,Clothing,4779.81,81,41
Electro Mart,1,Sony Corporation,16,P00246842,Pharmacy & OTC,4755.92,136,66
Electro Mart,1,Sony Corporation,16,P00175542,Health & Beauty,4722.41,77,43
Electro Mart,1,Sony Corporation,16,P00349342,Toys,4635.15,65,31
Electro Mart,1,Sony Corporation,16,P00207742,Health & Beauty,4613.12,212,101
Electro Mart,1,Sony Corporation,16,P00367342,Patio & Garden,4507.28,103,51
Electro Mart,1,Sony Corporation,16,P00067942,Health & Beauty,4433.36,734,371
Electro Mart,1,Sony Corporation,16,P00043842,Toys,4386.77,103,52
Electro Mart,1,Sony Corporation,16,P00142242,Toys,4348.72,76,38
Electro Mart,1,Sony Corporation,16,P00180642,Patio & Garden,4330.48,133,69
Electro Mart,1,Sony Corporation,16,P00076442,Grocery,4302.36,114,51
Electro Mart,1,Sony Corporation,16,P00167542,Health & Beauty,4269.38,58,28
Electro Mart,1,Sony Corporation,16,P00066542,Grocery,4233.15,115,53
Electro Mart,1,Sony Corporation,16,P00091642,Appliances,4223.45,55,29
Electro Mart,1,Sony Corporation,16,P00066942,Toys,4114.80,81,43
Electro Mart,1,Sony Corporation,16,P00018242,Health & Beauty,4045.40,113,60
Electro Mart,1,Sony Corporation,16,P00050642,Office & School Supplies,4005.82,217,104
Electro Mart,1,Sony Corporation,16,P00064642,Grocery,3981.60,56,28
Electro Mart,1,Sony Corporation,16,P00338142,Health & Beauty,3848.57,59,28
Electro Mart,1,Sony Corporation,16,P00000442,Health & Beauty,3775.80,186,92
Electro Mart,1,Sony Corporation,16,P00261442,Grocery,3770.48,56,32
Electro Mart,1,Sony Corporation,16,P00143742,Toys,3734.22,51,24
Electro Mart,1,Sony Corporation,16,P00288742,"Arts, Crafts & Sewing",3653.28,258,129
Electro Mart,1,Sony Corporation,16,P00179942,Patio & Garden,3644.58,139,69
Electro Mart,1,Sony Corporation,16,P00338042,Health & Beauty,3644.16,96,50
Electro Mart,1,Sony Corporation,16,P0098642,Household Essentials,3640.89,59,27
Electro Mart,1,Sony Corporation,16,P00049142,Grocery,3589.29,171,87
Electro Mart,1,Sony Corporation,16,P00281842,Health & Beauty,3563.91,63,29
Electro Mart,1,Sony Corporation,16,P00235842,Patio & Garden,3553.46,254,126
Electro Mart,1,Sony Corporation,16,P00175842,Health & Beauty,3486.70,85,43
Electro Mart,1,Sony Corporation,16,P00005642,Toys,3333.16,92,47
Electro Mart,1,Sony Corporation,16,P00076142,Toys,3323.47,59,31
Electro Mart,1,Sony Corporation,16,P0095742,Clothing,3315.60,216,115
Electro Mart,1,Sony Corporation,16,P00007742,Toys,3288.48,68,31
Electro Mart,1,Sony Corporation,16,P00286142,"Arts, Crafts & Sewing",3284.80,80,36
Electro Mart,1,Sony Corporation,16,P00160542,Health & Beauty,3157.05,195,105
Electro Mart,1,Sony Corporation,16,P00081542,Health & Beauty,3130.20,45,25
Electro Mart,1,Sony Corporation,16,P00231442,Health & Beauty,3118.15,59,28
Electro Mart,1,Sony Corporation,16,P00032842,Toys,3099.60,756,384
Electro Mart,1,Sony Corporation,16,P00326542,Health & Beauty,3093.20,95,50
Electro Mart,1,Sony Corporation,16,P00308542,Grocery,3035.06,38,20
Electro Mart,1,Sony Corporation,16,P00029642,Health & Beauty,3030.80,40,22
Electro Mart,1,Sony Corporation,16,P00039742,Health & Beauty,3019.28,517,252
Electro Mart,1,Sony Corporation,16,P00279942,Toys,2984.20,172,84
Electro Mart,1,Sony Corporation,16,P00308342,Health & Beauty,2979.16,284,149
Electro Mart,1,Sony Corporation,16,P00265042,"Arts, Crafts & Sewing",2963.48,82,41
Electro Mart,1,Sony Corporation,16,P00088442,Toys,2960.28,108,52
Electro Mart,1,Sony Corporation,16,P00167742,Baby,2933.88,92,43
Electro Mart,1,Sony Corporation,16,P00252042,Health & Beauty,2879.88,699,347
Electro Mart,1,Sony Corporation,16,P00319642,Household Essentials,2860.26,78,40
Electro Mart,1,Sony Corporation,16,P00319142,Health & Beauty,2844.90,261,132
Electro Mart,1,Sony Corporation,16,P00211042,Health & Beauty,2838.75,375,194
Electro Mart,1,Sony Corporation,16,P00043342,Toys,2812.65,255,132
Electro Mart,1,Sony Corporation,16,P00132842,Grocery,2797.20,259,126
Electro Mart,1,Sony Corporation,16,P00348742,"Arts, Crafts & Sewing",2786.16,141,73
Electro Mart,1,Sony Corporation,16,P00037042,Grocery,2783.26,439,221
Electro Mart,1,Sony Corporation,16,P00239242,Health & Beauty,2768.44,67,34
Electro Mart,1,Sony Corporation,16,P00256242,Health & Beauty,2761.00,44,20
Electro Mart,1,Sony Corporation,16,P00247542,Toys,2760.06,314,159
Electro Mart,1,Sony Corporation,16,P00046442,Toys,2756.28,223,112
Electro Mart,1,Sony Corporation,16,P00234342,Electronics,2725.36,38,18
Electro Mart,1,Sony Corporation,16,P00237442,Toys,2571.42,102,53
Electro Mart,1,Sony Corporation,16,P00366842,Toys,2565.75,75,40
Electro Mart,1,Sony Corporation,16,P00359942,Patio & Garden,2538.51,39,19
Electro Mart,1,Sony Corporation,16,P00107142,Household Essentials,2528.46,33,15
Electro Mart,1,Sony Corporation,16,P00302142,Health & Beauty,2442.76,353,173
Electro Mart,1,Sony Corporation,16,P00349242,Toys,2426.52,277,146
Electro Mart,1,Sony Corporation,16,P00248642,Baby,2374.20,36,21
Electro Mart,1,Sony Corporation,16,P00087742,Health & Beauty,2328.04,44,21
Electro Mart,1,Sony Corporation,16,P00335842,Health & Beauty,2322.86,43,20
Electro Mart,1,Sony Corporation,16,P00300542,Toys,2314.96,76,37
Electro Mart,1,Sony Corporation,16,P00321542,Health & Beauty,2203.08,44,22
Electro Mart,1,Sony Corporation,16,P00020942,Toys,2170.65,29,15
Electro Mart,1,Sony Corporation,16,P00079642,Toys,2164.64,166,84
Electro Mart,1,Sony Corporation,16,P00168842,Grocery,2151.18,37,19
Electro Mart,1,Sony Corporation,16,P00241942,Toys,2146.80,40,24
Electro Mart,1,Sony Corporation,16,P00152642,Household Essentials,2128.56,28,12
Electro Mart,1,Sony Corporation,16,P00313942,Pharmacy & OTC,2109.66,42,23
Electro Mart,1,Sony Corporation,16,P00186542,Electronics,2088.20,53,31
Electro Mart,1,Sony Corporation,16,P00131642,Toys,2059.68,42,19
Electro Mart,1,Sony Corporation,16,P00348342,Toys,2051.59,193,101
Electro Mart,1,Sony Corporation,16,P00289742,Toys,2037.84,84,45
Electro Mart,1,Sony Corporation,16,P00301842,Health & Beauty,2019.60,60,29
Electro Mart,1,Sony Corporation,16,P00138042,Grocery,2004.08,52,27
Electro Mart,1,Sony Corporation,16,P00072942,Toys,1922.10,149,69
Electro Mart,1,Sony Corporation,16,P00163342,Household Essentials,1919.52,124,64
Electro Mart,1,Sony Corporation,16,P00223442,Health & Beauty,1918.00,28,16
Electro Mart,1,Sony Corporation,16,P00006042,Toys,1901.46,67,36
Electro Mart,1,Sony Corporation,16,P00089642,Toys,1897.28,44,26
Electro Mart,1,Sony Corporation,16,P00003042,Toys,1884.94,79,37
Electro Mart,1,Sony Corporation,16,P00028642,Health & Beauty,1878.69,33,18
Electro Mart,1,Sony Corporation,16,P00365742,Toys,1854.96,24,11
Electro Mart,1,Sony Corporation,16,P00364042,Health & Beauty,1848.96,32,16
Electro Mart,1,Sony Corporation,16,P00318542,Toys,1817.73,57,32
Electro Mart,1,Sony Corporation,16,P00240242,Grocery,1742.65,455,221
Electro Mart,1,Sony Corporation,16,P00328242,Toys,1730.45,53,31
Electro Mart,1,Sony Corporation,16,P00164142,Toys,1716.93,27,15
Electro Mart,1,Sony Corporation,16,P00245842,Health & Beauty,1711.20,62,34
Electro Mart,1,Sony Corporation,16,P00230042,Toys,1669.50,35,16
Electro Mart,1,Sony Corporation,16,P00086742,Health & Beauty,1668.30,83,39
Electro Mart,1,Sony Corporation,16,P00021042,Toys,1661.32,164,80
