Store_ID,Store_Name,Year,Quarter,Quarter_Label,Quarterly_Sales,Quarterly_Quantity,Total_Transactions,Unique_Customers,Avg_Transaction_Value
6,Photo World,2015,4,Q4-2015,177299.53,4640,2339,1624,75.801424
6,Photo World,2016,1,Q1-2016,175548.69,4627,2297,1589,76.425202
6,Photo World,2016,2,Q2-2016,176948.00,4553,2294,1601,77.135135
6,Photo World,2016,3,Q3-2016,181318.88,4708,2370,1684,76.505857
6,Photo World,2016,4,Q4-2016,183119.51,4712,2337,1625,78.356658
6,Photo World,2017,1,Q1-2017,166259.01,4356,2189,1548,75.952037
6,Photo World,2017,2,Q2-2017,167023.50,4367,2197,1544,76.023441
6,Photo World,2017,3,Q3-2017,169339.05,4454,2239,1608,75.631554
6,Photo World,2017,4,Q4-2017,178750.19,4645,2340,1633,76.388970
6,Photo World,2018,1,Q1-2018,172330.23,4386,2173,1544,79.305214
6,Photo World,2018,2,Q2-2018,173844.65,4543,2275,1616,76.415231
6,Photo World,2018,3,Q3-2018,172352.70,4507,2249,1580,76.635260
6,Photo World,2018,4,Q4-2018,174882.70,4526,2264,1625,77.245009
6,Photo World,2019,1,Q1-2019,166655.03,4310,2223,1577,74.968525
6,Photo World,2019,2,Q2-2019,171188.49,4493,2265,1595,75.579907
6,Photo World,2019,3,Q3-2019,177153.11,4626,2300,1618,77.023091
6,Photo World,2019,4,Q4-2019,175665.64,4635,2336,1629,75.199332
6,Photo World,2020,1,Q1-2020,170861.78,4442,2241,1579,76.243543
6,Photo World,2020,2,Q2-2020,169946.25,4447,2248,1587,75.598866
6,Photo World,2020,3,Q3-2020,183909.09,4697,2366,1644,77.729962
6,Photo World,2020,4,Q4-2020,178906.09,4668,2343,1626,76.357700
3,Sound Zone,2015,1,Q1-2015,404705.32,9452,4734,2548,85.489083
3,Sound Zone,2015,2,Q2-2015,421116.75,9871,4959,2611,84.919691
3,Sound Zone,2015,3,Q3-2015,406578.76,9521,4793,2585,84.827615
3,Sound Zone,2015,4,Q4-2015,417027.21,9784,4878,2552,85.491433
3,Sound Zone,2016,1,Q1-2016,405143.78,9544,4747,2533,85.347331
3,Sound Zone,2016,2,Q2-2016,402358.23,9360,4659,2538,86.361500
3,Sound Zone,2016,3,Q3-2016,416463.87,9872,4882,2578,85.305995
3,Sound Zone,2016,4,Q4-2016,417959.46,9769,4882,2544,85.612343
3,Sound Zone,2017,1,Q1-2017,389904.39,9127,4604,2486,84.688182
3,Sound Zone,2017,2,Q2-2017,416160.94,9593,4798,2575,86.736336
3,Sound Zone,2017,3,Q3-2017,410581.56,9724,4885,2594,84.049449
3,Sound Zone,2017,4,Q4-2017,424142.87,9821,4934,2585,85.963289
3,Sound Zone,2018,1,Q1-2018,401925.61,9353,4671,2530,86.047016
3,Sound Zone,2018,2,Q2-2018,410540.80,9624,4836,2589,84.892639
3,Sound Zone,2018,3,Q3-2018,428874.61,9945,4940,2588,86.816723
3,Sound Zone,2018,4,Q4-2018,423654.97,9773,4919,2582,86.126239
3,Sound Zone,2019,1,Q1-2019,408369.56,9543,4766,2549,85.683919
3,Sound Zone,2019,2,Q2-2019,417124.30,9673,4822,2578,86.504417
3,Sound Zone,2019,3,Q3-2019,418885.95,9841,4909,2578,85.330200
3,Sound Zone,2019,4,Q4-2019,419587.69,9779,4895,2561,85.717608
3,Sound Zone,2020,1,Q1-2020,414625.65,9610,4812,2554,86.164931
3,Sound Zone,2020,2,Q2-2020,414885.17,9700,4886,2623,84.913052
3,Sound Zone,2020,3,Q3-2020,412129.72,9706,4872,2579,84.591486
3,Sound Zone,2020,4,Q4-2020,410004.40,9631,4788,2525,85.631662
2,Tech Haven,2015,1,Q1-2015,228818.33,6019,3020,1933,75.767659
2,Tech Haven,2015,2,Q2-2015,241098.25,6310,3162,1965,76.248656
2,Tech Haven,2015,3,Q3-2015,240434.15,6214,3116,1983,77.161152
2,Tech Haven,2015,4,Q4-2015,239122.17,6290,3166,1988,75.528165
2,Tech Haven,2016,1,Q1-2016,245873.85,6400,3147,1964,78.129600
2,Tech Haven,2016,2,Q2-2016,243385.47,6247,3121,1957,77.983169
2,Tech Haven,2016,3,Q3-2016,236006.40,6120,3070,1952,76.875049
2,Tech Haven,2016,4,Q4-2016,242664.71,6423,3193,2029,75.998970
2,Tech Haven,2017,1,Q1-2017,233749.29,6197,3117,2001,74.991752
2,Tech Haven,2017,2,Q2-2017,236580.22,6294,3173,2001,74.560422
2,Tech Haven,2017,3,Q3-2017,239220.39,6327,3183,2014,75.155636
2,Tech Haven,2017,4,Q4-2017,237772.05,6268,3149,2017,75.507161
2,Tech Haven,2018,1,Q1-2018,245105.19,6454,3228,1998,75.930976
2,Tech Haven,2018,2,Q2-2018,230729.70,6002,3093,1978,74.597381
2,Tech Haven,2018,3,Q3-2018,243745.65,6288,3177,1999,76.721955
2,Tech Haven,2018,4,Q4-2018,240911.19,6168,3088,1955,78.015282
2,Tech Haven,2019,1,Q1-2019,239719.04,6268,3158,2026,75.908499
2,Tech Haven,2019,2,Q2-2019,243201.73,6406,3176,2028,76.574852
2,Tech Haven,2019,3,Q3-2019,242912.67,6256,3158,1960,76.919782
2,Tech Haven,2019,4,Q4-2019,245090.11,6358,3176,1976,77.169430
2,Tech Haven,2020,1,Q1-2020,242162.64,6325,3168,2003,76.440227
2,Tech Haven,2020,2,Q2-2020,248287.69,6443,3167,1978,78.398386
2,Tech Haven,2020,3,Q3-2020,245825.77,6452,3206,2046,76.676784
2,Tech Haven,2020,4,Q4-2020,243587.29,6380,3214,2021,75.789449
