Product_ID,Product_Category,Year,Month,Month_Name,Day_Type,Revenue,Revenue_Rank
P00184942,Grocery,2017,5,May,Weekday,2674.40,2
P00044442,Grocery,2017,5,May,Weekday,2663.64,3
P00250242,Health & Beauty,2017,5,May,Weekday,2354.45,4
P00220442,Health & Beauty,2017,5,May,Weekday,2091.48,5
P00178942,Health & Beauty,2017,5,May,Weekend,989.17,1
P00277642,Electronics,2017,5,May,Weekend,850.52,2
P00116842,Electronics,2017,5,May,Weekend,849.53,3
P00366542,Health & Beauty,2017,5,May,Weekend,840.40,4
P00318742,Grocery,2017,5,May,Weekend,827.42,5
P00110842,Grocery,2017,6,June,Weekday,2658.82,1
P00184942,Grocery,2017,6,June,Weekday,2473.82,2
P00044442,Grocery,2017,6,June,Weekday,2219.70,3
P00116842,Electronics,2017,6,June,Weekday,2162.44,4
P00277642,Electronics,2017,6,June,Weekday,2087.64,5
P00052842,Automotive,2017,6,June,Weekend,1439.34,1
P00059442,Household Essentials,2017,6,June,Weekend,1140.87,2
P00220442,Health & Beauty,2017,6,June,Weekend,937.56,3
P00178942,Health & Beauty,2017,6,June,Weekend,913.08,4
P00127942,Grocery,2017,6,June,Weekend,883.48,5
P00220442,Health & Beauty,2017,7,July,Weekday,2596.32,1
P00059442,Household Essentials,2017,7,July,Weekday,2281.74,2
P00249542,Grocery,2017,7,July,Weekday,2193.90,3
P00110542,Toys,2017,7,July,Weekday,2191.35,4
P00277642,Electronics,2017,7,July,Weekday,2164.96,5
P00059442,Household Essentials,2017,7,July,Weekend,1677.75,1
P00220442,Health & Beauty,2017,7,July,Weekend,1298.16,2
P00251242,Health & Beauty,2017,7,July,Weekend,1191.30,3
P00242742,Grocery,2017,7,July,Weekend,1167.84,4
P00031042,Toys,2017,7,July,Weekend,1105.61,5
P00059442,Household Essentials,2017,8,August,Weekday,3087.06,1
P00184942,Grocery,2017,8,August,Weekday,2874.98,2
P00220442,Health & Beauty,2017,8,August,Weekday,2452.08,3
P00034742,Health & Beauty,2017,8,August,Weekday,2137.80,4
P00044442,Grocery,2017,8,August,Weekday,1997.73,5
P00249542,Grocery,2017,8,August,Weekend,1389.47,1
P00034742,Health & Beauty,2017,8,August,Weekend,1018.00,2
P00220442,Health & Beauty,2017,8,August,Weekend,937.56,3
P00031042,Toys,2017,8,August,Weekend,872.85,4
P00113242,Grocery,2017,8,August,Weekend,862.03,5
P00277642,Electronics,2017,9,September,Weekday,3015.48,1
P00220442,Health & Beauty,2017,9,September,Weekday,2884.80,2
P00044442,Grocery,2017,9,September,Weekday,2071.72,3
P00199442,Health & Beauty,2017,9,September,Weekday,1977.90,4
P00110842,Grocery,2017,9,September,Weekday,1940.22,5
P00220442,Health & Beauty,2017,9,September,Weekend,1442.40,1
P00265242,Health & Beauty,2017,9,September,Weekend,1115.92,2
P00059442,Household Essentials,2017,9,September,Weekend,1073.76,3
P00323942,Toys,2017,9,September,Weekend,1058.42,4
P00085242,Toys,2017,9,September,Weekend,940.56,5
P00037142,Grocery,2017,10,October,Weekday,2389.09,1
P00110842,Grocery,2017,10,October,Weekday,2299.52,2
P00178942,Health & Beauty,2017,10,October,Weekday,2206.61,3
P00277642,Electronics,2017,10,October,Weekday,2164.96,4
P00059442,Household Essentials,2017,10,October,Weekday,2080.41,5
P00110842,Grocery,2017,10,October,Weekend,1724.64,1
P00059442,Household Essentials,2017,10,October,Weekend,1207.98,2
P00286642,Patio & Garden,2017,10,October,Weekend,1044.40,3
P00318742,Grocery,2017,10,October,Weekend,977.86,4
P00031042,Toys,2017,10,October,Weekend,872.85,5
P00059442,Household Essentials,2017,11,November,Weekday,2550.18,1
P00110842,Grocery,2017,11,November,Weekday,2515.10,2
P00062842,Grocery,2017,11,November,Weekday,2363.19,3
P00086442,Toys,2017,11,November,Weekday,2026.56,4
P00044442,Grocery,2017,11,November,Weekday,1849.75,5
P00085242,Toys,2017,11,November,Weekend,1567.60,1
P00057942,Grocery,2017,11,November,Weekend,1091.30,2
P00085942,Electronics,2017,11,November,Weekend,986.00,3
P00044442,Grocery,2017,11,November,Weekend,961.87,4
P00240142,Health & Beauty,2017,11,November,Weekend,920.88,5
P00034042,Grocery,2017,12,December,Weekday,2425.22,1
P00371644,Shoes,2017,12,December,Weekday,2149.14,2
P00034742,Health & Beauty,2017,12,December,Weekday,2086.90,3
P00250242,Health & Beauty,2017,12,December,Weekday,1950.83,4
P00351142,Grocery,2017,12,December,Weekday,1684.98,5
P00057942,Grocery,2017,12,December,Weekend,1403.10,1
P00220442,Health & Beauty,2017,12,December,Weekend,1226.04,2
P00025442,Grocery,2017,12,December,Weekend,1103.25,3
P00057542,Home & Kitchen,2017,12,December,Weekend,1060.92,4
P00115642,Toys,2017,12,December,Weekend,1038.70,5
